FC Magpies,Gibraltar
Lincoln Red Imps FC,Gibraltar
Europa FC,Gibraltar
St Joseph's FC,Gibraltar
Lynx FC,Gibraltar
Glacis United FC,Gibraltar
Lions Gibraltar FC,Gibraltar
Mons Calpe SC,Gibraltar
Manchester 62 FC,Gibraltar
Europa Point FC,Gibraltar
College 1975 FC,Gibraltar
CD Olimpia,Tegucigalpa
Olancho FC,Juticalpa
Real CD España,San Pedro Sula
CD Marathón,San Pedro Sula
CD Motagua,Tegucigalpa
Lobos de la Universidad Pedagógica Nacional Francisco Morazán,Tegucigalpa
CDyS Vida,La Ceiba
CD Real Sociedad,Tocoa
CD Honduras Progreso,El Progreso
CD Victoria,La Ceiba
Yeoju Citizen FC,Yeoju
Geoje Citizen FC,Geoje
Pyeongchang United FC,Pyeongchang
Jinju Citizen FC,Jinju
Dangjin Citizen FC,Dangjin
Daegu FC II,Daegu
Chungju Citizen FC,Chungju
Goyang Happiness FC,Goyang
Jeonbuk Hyundai Motors FC II,Jeonju
Busan IPark II,Busan
Pyeongtaek Citizen FC,Pyeongtaek
Jeonju Citizen FC,Jeonju
Seoul Jungnang Chorus Mustang FC,Seoul
Gangwon FC II,Gangneung
Seoul Nowon United FC,Seoul
Sejong Vanesse FC,Jochiwon
Daejeon Hana Citizen FC II,Daejeon
Young Elephants FC,Vientiane
Master 7 FC,Vientiane
Ezra FC,NongHai Village
Lao Army FC,Vientiane
Luangprabang FC,TBC
Champasak FC,Pakse
Namtha United,TBC
Viengchanh FC,TBC
Al Ansar SC,Bayrūt (Beirut)
Shabab Al-Sahel,Bayrūt (Beirut)
Al Ahed SC,Bayrūt (Beirut)
Al-Nejmeh SC Beirut,Bayrūt (Beirut)
Bourj FC,TBC
Shabab Al-Ghazieh,Saïda (Saida)
Safa Beirut SC,Bayrūt (Beirut)
Tadamon SC,Sour
Al Akhaa Al Ahli Aley,Bayrūt (Beirut)
Salam Zgharta,Zgharta
Al Hikma / CS La Sagesse,Bayrūt (Beirut)
Tripoli SC,Tripoli (Tarabulus)
FC Swift Hesperange,Hesper (Hesperange)
FC Progrès Niederkorn,Nidderkuer (Niedercorn)
F91 Dudelange,Diddeleng (Dudelange)
Union Titus Pétange,Péiteng (Pétange)
FC Differdange 03,Déifferdeng (Differdange)
US Mondorf-les-Bains,Munnerëf (Mondorf-les-Bains)
AS la Jeunesse d'Esch,Esch-Uelzecht (Esch-sur-Alzette)
Racing FC Union Luxembourg,Lëtzebuerg (Luxembourg)
FC UNA Strassen,Strassen (Strossen)
FC Wiltz 71,Weidingen
FC Victoria Rosport,Rousport (Rosport)
FC Monnerich,Monnerëch (Mondercange)
CS Fola Esch,Esch-Uelzecht (Esch-sur-Alzette)
Uewer/Nidder Käerjéng 97,Nidderkäerjeng (Bascharage)
FC Etzella Ettelbrück,Ettelbréck (Ettelbrück)
US Hostert,Hostert
Hamrun Spartans FC,Ħamrun (Hamrun)
Birkirkara FC,Birkirkara
Gzira United FC,Ta'Qali
Paola Hibernians FC,Paola
Balzan FC,Ħamrun (Hamrun)
Mosta FC,Mosta
Floriana FC,Floriana
Valletta FC,Ta'Qali
Sirens FC,St. Paul's Bay
Gudja United FC,Gudja
Marsaxlokk FC,Marsaxlokk
Santa Lucia FC,Pembroke
Zebbug Rangers FC,Ħaż-Żebbuġ (Città Rohan)
Pietà Hotspurs FC,Ħamrun (Hamrun)
Asser Christelijke Voetbalvereniging,Assen
Gelders Veenendaalse Voetbal Vereniging,Veenendaal
vv Sterk Door Combinatie,Hoornaar
FC Rijnvogels,Katwijk aan Zee
BVV Barendrecht,Barendrecht
Sportlust '46,Woerden
Door Vereniging Sterk '33 Ermelo,Ermelo
VV Sparta Nijkerk,Nijkerk
Hoekse Sportvereniging Hoek,Hoek
Door Ons Vrienden Opgericht,Veenendaal
Staphorst,Staphorst
SV Urk,Urk
vv Harkemase Boys,Harkema
RKAV Volendam Amateurs,Volendam
Voetbal Vereniging Ons Genoegen,Harderwijk
SV Excelsior 1931,Rijssen
VV Ter Leede,Sassenheim
Altijd Sterker Wordend Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht
HFC ADO Den Haag,Den Haag (‘s-Gravenhage)
Alkmaar Zaanstreek II,Wijdewormer
AFC Ajax II,Amsterdam-Duivendrecht
SC Cambuur Leeuwarden,Leeuwarden
BV De Graafschap,Doetinchem
FC Den Bosch,'s-Hertogenbosch
FC Dordrecht,Dordrecht
FC Eindhoven,Eindhoven
FC Emmen,Emmen
FC Groningen,Groningen
Helmond Sport,Helmond
MVV,Maastricht
NAC Breda,Breda
PSV Eindhoven II,Eindhoven
SV Roda JC,Kerkrade
